"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Another customer cannot read someone else's order","","2026-07-12","broken","2026-07-12","","Orders are visible only to their owner","Another customer cannot read someone else's order",""
"","202","Search returns matching products in UI and API","","2026-07-12","broken","2026-07-12","","Product search","Search returns matching products in UI and API",""
"","2","Cart total is the sum of quantity times price","","2026-07-12","broken","2026-07-12","","Cart totals","Cart total is the sum of quantity times price",""
"","2","Stock cannot be exceeded","","2026-07-12","broken","2026-07-12","","Out of stock inventory","Stock cannot be exceeded",""
"","24577","starts_a_disposable_database_and_applies_the_public_seed()","","2026-07-12","passed","2026-07-12","","com.shopkart.data.db.MySqlContainerAddonTest","com.shopkart.data.db.MySqlContainerAddonTest","starts_a_disposable_database_and_applies_the_public_seed"
"","13344","A logged-in customer checks out a two-item cart","","2026-07-12","broken","2026-07-12","","Checkout places an order and the backend agrees","A logged-in customer checks out a two-item cart",""
"","522","A placed order can only be cancelled once","","2026-07-12","broken","2026-07-12","","Cancel rules","A placed order can only be cancelled once",""
